name	category	relevance	country_iso	x	y
Burj Khalifa	Building	132	AE	1.0065443385807427	-1.1279980529747369
Dubai Museum	Museum	118	AE	0.9844910636387075	-1.1506193741107675
Etisalat	Building	306	AE	1.2689896708122306	-0.8679865781743153
Louvre Abu Dhabi	Museum	57	AE	0.9118022108979075	-1.2312987750783133
United Nations Office on Drugs and Crime	Building	166	AF	0.8823509517936358	-1.3010839379525714
National Assembly	Building	78	AF	0.7577732289172321	-1.438659785349865
Darul Aman Palace	Building	62	AF	0.7346149226490585	-1.4638197540921911
Clarence House	Palace	60	AG	0.11699151005601086	0.3439941519929601
Mozi	Monument	184	AM	0.5308516922193578	-0.9826490533369175
Grigori	Monument	280	AM	0.6614882206464242	-0.8390661302499396
Ayr	Church	361	AM	0.7703544437835728	-0.6990958982904256
Shiraz	Historical Site	69	AM	0.3601262507335769	-1.1629676841802434
Etchmiadzin Cathedral	Church	149	AM	0.4566839477792336	-1.024961398389398
Handi	Church	55	AM	0.3703208491993193	-1.193147200903353
Sofia	Church	129	AM	0.4343312375711535	-1.0681489779718538
Urmia	Church	120	AM	0.4219054865743356	-1.0738363494070557
Friki	Monument	379	AM	0.7895266431259895	-0.6664059941210688
Sari	Historical Site	770	AM	1.3455576509540303	-0.056777910993159285
Kap	Monument	112	AM	0.37844780961210345	-1.0899904323855942
Kayan	Historical Site	66	AM	0.3110796739300513	-1.1651871389976325
Obelisco	Monument	71	AR	1.8053259373928785	0.5543022957933845
Café Tortoni	Building	62	AR	1.7925618465073614	0.5401129974977015
Mezquita	Building	213	AR	2.0084604115654705	0.77801477397049
Church	Church	132	AS	0.1362707880401366	2.0320256500330514
Kalvarienberg	Church	78	AT	-0.11554041140699542	-0.792252755580452
Burg Kreuzenstein	Castle	113	AT	-0.1068639760418428	-0.7495480523227469
Frankenstein	Castle	59	AT	-0.14634056010058816	-0.8032713446471202
Schloss Ambras	Palace	66	AT	-0.1823328625977976	-0.7536938507151716
Burg Greifenstein	Castle	262	AT	0.10819659182191119	-0.5142176925688203
Festung Hohensalzburg	Castle	139	AT	-0.07993140600192489	-0.6627247404827383
Museumsquartier	Museum	52	AT	-0.18862186728452932	-0.8451826117931232
Kunsthistorisches Museum	Museum	174	AT	-0.012895309378586047	-0.6533908253776614
Secession	Museum	299	AT	0.16727718500294525	-0.4568741571062246
Karlskirche	Church	155	AT	-0.0399978471842143	-0.6833765284513145
Belvedere	Palace	165	AT	-0.025294657292408644	-0.6677408663180743
Gasometer	Historical Site	119	AT	-0.09098889629730267	-0.7405542461643967
Schloss Eckartsau	Castle	59	AT	-0.17263933816137228	-0.8396538589073614
Schloss Belvedere	Building	592	AT	0.5896577423772552	0.0037642771036720517
Goldenes Dachl	Monument	67	AT	-0.18166328832883233	-0.7516480802952643
Hangar-7	Museum	55	AT	-0.20122417519399416	-0.7942768483426957
